log: 2020/12/24 00:10:24 testsvg.go:34: Creating the database
log: 2020/12/24 00:10:24 testsvg.go:41: Pinging the database
log: 2020/12/24 00:10:24 testsvg.go:168: (#CBB399): 183.000000 - 20978
log: 2020/12/24 00:10:24 testsvg.go:168: (#E63990): 119.000000 - 13524
log: 2020/12/24 00:10:24 testsvg.go:168: (#F5F7EA): 245.000000 - 16499
log: 2020/12/24 00:10:24 testsvg.go:168: (#544738): 73.000000 - 16734
log: 2020/12/24 00:10:24 testsvg.go:168: (#F9E9B8): 232.000000 - 16455
log: 2020/12/24 00:10:24 testsvg.go:168: (#C4C7C8): 198.000000 - 13439
log: 2020/12/24 00:10:24 testsvg.go:168: (#1A181A): 25.000000 - 16611
log: 2020/12/24 00:10:24 testsvg.go:168: (#CCCDCD): 205.000000 - 13445
log: 2020/12/24 00:10:24 testsvg.go:168: (#F3F3F2): 243.000000 - 13629
log: 2020/12/24 00:10:24 testsvg.go:168: (#14304A): 43.000000 - 13380
log: 2020/12/24 00:10:24 testsvg.go:168: (#3B313C): 53.000000 - 13655
log: 2020/12/24 00:10:24 testsvg.go:168: (#BBB5B1): 182.000000 - 16614
log: 2020/12/24 00:10:24 testsvg.go:168: (#EBE3D4): 228.000000 - 20232
log: 2020/12/24 00:10:24 testsvg.go:168: (#C7AFA0): 180.000000 - 13502
log: 2020/12/24 00:10:24 testsvg.go:168: (#B9DBE8): 210.000000 - 14803
log: 2020/12/24 00:10:24 testsvg.go:168: (#2A19D0): 51.000000 - 13548
log: 2020/12/24 00:10:24 testsvg.go:168: (#2720C0): 52.000000 - 13651
log: 2020/12/24 00:10:24 testsvg.go:168: (#7B1F00): 55.000000 - 13528
log: 2020/12/24 00:10:24 testsvg.go:168: (#E5DDDE): 224.000000 - 20499
log: 2020/12/24 00:10:24 testsvg.go:168: (#DEE4E8): 227.000000 - 13631
log: 2020/12/24 00:10:24 testsvg.go:168: (#3C4A61): 72.000000 - 13440
log: 2020/12/24 00:10:24 testsvg.go:168: (#F2F2F4): 242.000000 - 13630
log: 2020/12/24 00:10:24 testsvg.go:168: (#F7C938): 198.000000 - 13400
log: 2020/12/24 00:10:24 testsvg.go:168: (#1F1627): 27.000000 - 13399
log: 2020/12/24 00:10:24 testsvg.go:168: (#F3B660): 190.000000 - 13663
log: 2020/12/24 00:10:24 testsvg.go:168: (#DDC8D7): 208.000000 - 13550
log: 2020/12/24 00:10:24 testsvg.go:168: (#484838): 70.000000 - 13555
log: 2020/12/24 00:10:24 testsvg.go:168: (#797074): 115.000000 - 13549
log: 2020/12/24 00:10:24 testsvg.go:168: (#EBE6DE): 231.000000 - 13564
log: 2020/12/24 00:10:24 testsvg.go:168: (#CFCFD6): 208.000000 - 13450
log: 2020/12/24 00:10:24 testsvg.go:168: (#99A6B0): 163.000000 - 13574
log: 2020/12/24 00:10:24 testsvg.go:168: (#8609C0): 67.000000 - 13354
log: 2020/12/24 00:10:24 testsvg.go:168: (#E37B1B): 143.000000 - 13446
log: 2020/12/24 00:10:24 testsvg.go:168: (#715757): 95.000000 - 13421
log: 2020/12/24 00:10:24 testsvg.go:168: (#625052): 86.000000 - 13498
log: 2020/12/24 00:10:24 testsvg.go:168: (#16292D): 36.000000 - 16345
log: 2020/12/24 00:10:24 testsvg.go:168: (#86867B): 133.000000 - 20795
log: 2020/12/24 00:10:24 testsvg.go:168: (#D8D7D6): 215.000000 - 13387
log: 2020/12/24 00:10:24 testsvg.go:168: (#C72236): 86.000000 - 13563
log: 2020/12/24 00:10:24 testsvg.go:168: (#A19178): 147.000000 - 13827
log: 2020/12/24 00:10:24 testsvg.go:168: (#F6B369): 191.000000 - 13628
log: 2020/12/24 00:10:24 testsvg.go:168: (#4E5358): 82.000000 - 13828
log: 2020/12/24 00:10:24 testsvg.go:168: (#E4DACF): 220.000000 - 13526
log: 2020/12/24 00:10:24 testsvg.go:168: (#3438F0): 76.000000 - 13829
log: 2020/12/24 00:10:24 testsvg.go:168: (#368051): 101.000000 - 13821
log: 2020/12/24 00:10:24 testsvg.go:168: (#A6A7A7): 167.000000 - 13822
log: 2020/12/24 00:10:24 testsvg.go:168: (#628B30): 116.000000 - 13560
log: 2020/12/24 00:10:24 testsvg.go:168: (#B6BABB): 185.000000 - 13820
log: 2020/12/24 00:10:24 testsvg.go:168: (#807575): 120.000000 - 13584
log: 2020/12/24 00:10:24 testsvg.go:168: (#233A3C): 51.000000 - 13414
log: 2020/12/24 00:10:24 testsvg.go:168: (#6D4D22): 82.000000 - 13659
log: 2020/12/24 00:10:24 testsvg.go:168: (#565046): 81.000000 - 14797
log: 2020/12/24 00:10:24 testsvg.go:168: (#C5CAA3): 196.000000 - 13522
log: 2020/12/24 00:10:24 testsvg.go:168: (#4C3D21): 62.000000 - 13375
log: 2020/12/24 00:10:24 testsvg.go:168: (#A17DCB): 145.000000 - 13416
log: 2020/12/24 00:10:24 testsvg.go:168: (#CEC4BE): 198.000000 - 13804
log: 2020/12/24 00:10:24 testsvg.go:168: (#BBB61D): 166.000000 - 13579
log: 2020/12/24 00:10:24 testsvg.go:168: (#89888E): 137.000000 - 13527
log: 2020/12/24 00:10:24 testsvg.go:168: (#85482D): 87.000000 - 13318
log: 2020/12/24 00:10:24 testsvg.go:168: (#8F392C): 81.000000 - 13319
log: 2020/12/24 00:10:24 testsvg.go:168: (#924635): 91.000000 - 13320
log: 2020/12/24 00:10:24 testsvg.go:168: (#9D4835): 95.000000 - 13321
log: 2020/12/24 00:10:24 testsvg.go:168: (#954432): 90.000000 - 13322
log: 2020/12/24 00:10:24 testsvg.go:168: (#954635): 92.000000 - 13323
