BookID,FirstName,MiddleNames,LastName,Role
12895,Lemony,,Snicket,Author
12895,Brett,,Helquist,Illustrator
12896,Lemony,,Snicket,Author
12896,Brett,,Helquist,Illustrator
12897,Lemony,,Snicket,Author
12897,Brett,,Helquist,Illustrator
12898,Lemony,,Snicket,Author
12898,Brett,,Helquist,Illustrator
12899,Lemony,,Snicket,Author
12899,Brett,,Helquist,Illustrator
12900,Lemony,,Snicket,Author
12900,Brett,,Helquist,Illustrator
12901,Lemony,,Snicket,Author
12901,Brett,,Helquist,Illustrator
12902,Lemony,,Snicket,Author
12902,Brett,,Helquist,Illustrator
12903,Lemony,,Snicket,Author
12903,Brett,,Helquist,Illustrator
12904,Lemony,,Snicket,Author
12904,Brett,,Helquist,Illustrator
12905,Lemony,,Snicket,Author
12905,Brett,,Helquist,Illustrator
12906,Lemony,,Snicket,Author
12906,Brett,,Helquist,Illustrator
12907,Lemony,,Snicket,Author
12907,Brett,,Helquist,Illustrator
12908,Anthony,,Horowitz,Author
12909,Anthony,,Horowitz,Author
12910,Anthony,,Horowitz,Author
12911,Anthony,,Horowitz,Author
12912,Anthony,,Horowitz,Author
12913,Anthony,,Horowitz,Author
12914,Anthony,,Horowitz,Author
12915,Anthony,,Horowitz,Author
12916,Anthony,,Horowitz,Author
12917,Anthony,,Horowitz,Author
12918,Katherine,,Applegate,Author
12919,Katherine,,Applegate,Author
12920,Katherine,,Applegate,Author
12921,Katherine,,Applegate,Author
12922,Katherine,,Applegate,Author
12923,Katherine,,Applegate,Author
12924,Katherine,,Applegate,Author
12925,Katherine,,Applegate,Author
12926,Katherine,,Applegate,Author
12927,Katherine,,Applegate,Author
12928,Katherine,,Applegate,Author
12929,Katherine,,Applegate,Author
12930,Katherine,,Applegate,Author
12931,Katherine,,Applegate,Author
12932,Katherine,,Applegate,Author
12933,Katherine,,Applegate,Author
12934,Katherine,,Applegate,Author
12935,Katherine,,Applegate,Author
12936,Katherine,,Applegate,Author
12937,Katherine,,Applegate,Author
12938,Katherine,,Applegate,Author
12939,Katherine,,Applegate,Author
12940,Katherine,,Applegate,Author
12941,Katherine,,Applegate,Author
12942,Katherine,,Applegate,Author
12943,Katherine,,Applegate,Author
12944,Katherine,,Applegate,Author
12945,Katherine,,Applegate,Author
12946,Katherine,,Applegate,Author
12947,Katherine,,Applegate,Author
12948,Katherine,,Applegate,Author
12949,Katherine,,Applegate,Author
12950,Katherine,,Applegate,Author
12951,Katherine,,Applegate,Author
12952,Katherine,,Applegate,Author
12953,Katherine,,Applegate,Author
12954,Katherine,,Applegate,Author
12955,Katherine,,Applegate,Author
12956,Katherine,,Applegate,Author
12957,Katherine,,Applegate,Author
12958,Katherine,,Applegate,Author
12959,Katherine,,Applegate,Author
12960,Katherine,,Applegate,Author
12961,Katherine,,Applegate,Author
12962,Katherine,,Applegate,Author
12963,Katherine,,Applegate,Author
12964,Katherine,,Applegate,Author
12965,Katherine,,Applegate,Author
12966,Katherine,,Applegate,Author
12967,Katherine,,Applegate,Author
12968,Katherine,,Applegate,Author
12969,Katherine,,Applegate,Author
12970,Katherine,,Applegate,Author
12971,Katherine,,Applegate,Author
